id,genre,track_name,artist_name,valence,energy
2CjMm3TDd9BS8xAcvbe6yY,acoustic,Let Her Go (feat. Hannah Trigwell),Boyce Avenue,0.307,0.333
6bp1twiUg81a04GVGXHIsc,acoustic,Beach Baby,Bon Iver,0.111,0.0774
2r07lezrHUPEuhhBYW9JnC,acoustic,World Spins Madly On,The Shirelles,0.337,0.361
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217
574GJ55EBM79W6n2V5bL5z,acoustic,Slow It Down,The Lumineers,0.108,0.064
3guR6HQDbOhJq5r3AcEgBE,acoustic,Erase and Detach,Isbells,0.0927,0.0301
6jzWyXK9O7DoNWYRN99NMV,acoustic,Private Investigations - Edit,Mark Knopfler,0.0696,0.163
23NPGXlSaIqWzvxIRhM2oG,acoustic,Under the Bridge,Red Hot Chili Peppers,0.513,0.49
5sM2GI0vMNZL7tvfPQfByV,acoustic,Guaranteed,Eddie Vedder,0.127,0.00679
2V2pxcEfn5zs79sE7qcewA,acoustic,Now And Forever,Richard Marx,0.172,0.258
2BBb3UMJBNlofpC25pbSp4,acoustic,Call Me In The Afternoon,Half Moon Run,0.607,0.948
4E0lSJ6c5unoku9UIZoJSl,acoustic,Dust in the Wind,Kansas,0.419,0.251
00cP99zN0bsUZSpXbAlQXg,acoustic,I Try,Macy Gray,0.782,0.637
4hbGPfz03P8Nnh75mFIAoH,acoustic,Lucky - Live from Spotify Sessions,Jason Mraz,0.285,0.62
2kDF8cIxXytMdZq6AmkWSs,acoustic,Glad You Came,Tiffany Alvord,0.446,0.391
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.304,0.0813
423yF55nwTUJqNWXqNeLqJ,acoustic,Whispers In The Dark,Mumford & Sons,0.329,0.766
6FVuzVYUdbPBJr6kuxgNGs,acoustic,Mirrors (feat. Fifth Harmony),Boyce Avenue,0.702,0.658
3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.122,0.542
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,0.0974,0.294
2TdzUeMGoQNKZlQcqWqhtK,acoustic,Blue Liquid,Andy McKee,0.768,0.469
