,id,genre,track_name,artist_name,valence,energy,k-means_moods,moods_label
0,2CjMm3TDd9BS8xAcvbe6yY,acoustic,Let Her Go (feat. Hannah Trigwell),Boyce Avenue,0.307,0.333,4,Depressed
1,6bp1twiUg81a04GVGXHIsc,acoustic,Beach Baby,Bon Iver,0.111,0.0774,4,Depressed
2,2r07lezrHUPEuhhBYW9JnC,acoustic,World Spins Madly On,The Shirelles,0.337,0.361,2,Misery
3,51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217,4,Depressed
4,574GJ55EBM79W6n2V5bL5z,acoustic,Slow It Down,The Lumineers,0.108,0.064,4,Depressed
5,3guR6HQDbOhJq5r3AcEgBE,acoustic,Erase and Detach,Isbells,0.0927,0.0301,4,Depressed
6,6jzWyXK9O7DoNWYRN99NMV,acoustic,Private Investigations - Edit,Mark Knopfler,0.0696,0.163,4,Depressed
7,23NPGXlSaIqWzvxIRhM2oG,acoustic,Under the Bridge,Red Hot Chili Peppers,0.513,0.49,5,Contentment
8,5sM2GI0vMNZL7tvfPQfByV,acoustic,Guaranteed,Eddie Vedder,0.127,0.00679,4,Depressed
9,2V2pxcEfn5zs79sE7qcewA,acoustic,Now And Forever,Richard Marx,0.172,0.258,4,Depressed
10,2BBb3UMJBNlofpC25pbSp4,acoustic,Call Me In The Afternoon,Half Moon Run,0.607,0.948,3,Energetic
11,4E0lSJ6c5unoku9UIZoJSl,acoustic,Dust in the Wind,Kansas,0.419,0.251,4,Depressed
12,00cP99zN0bsUZSpXbAlQXg,acoustic,I Try,Macy Gray,0.782,0.637,1,Excitement
13,4hbGPfz03P8Nnh75mFIAoH,acoustic,Lucky - Live from Spotify Sessions,Jason Mraz,0.285,0.62,2,Misery
14,2kDF8cIxXytMdZq6AmkWSs,acoustic,Glad You Came,Tiffany Alvord,0.446,0.391,2,Misery
15,4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.304,0.0813,4,Depressed
16,423yF55nwTUJqNWXqNeLqJ,acoustic,Whispers In The Dark,Mumford & Sons,0.329,0.766,0,Distressed
17,6FVuzVYUdbPBJr6kuxgNGs,acoustic,Mirrors (feat. Fifth Harmony),Boyce Avenue,0.702,0.658,5,Contentment
18,3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.122,0.542,2,Misery
19,1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408,4,Depressed
20,3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,0.0974,0.294,4,Depressed
21,2TdzUeMGoQNKZlQcqWqhtK,acoustic,Blue Liquid,Andy McKee,0.768,0.469,5,Contentment
22,3LcYYV9ozePfgYYmXv0P3r,acoustic,Fire and Rain,James Taylor,0.36,0.35,2,Misery
23,4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415,2,Misery
24,4UnbdQoTvXhiKpPCBgW8Tn,acoustic,Jesus Doesn't Want Me For A Sunbeam,Nirvana,0.316,0.624,2,Misery
25,3Qf1X9wE43iXD8RLU4zlKR,acoustic,Wrecking Ball (feat. Diamond White),Boyce Avenue,0.184,0.317,4,Depressed
26,10ViidwjGLCfVtGPfdcszR,acoustic,Home,Edward Sharpe & The Magnetic Zeros,0.127,0.59,2,Misery
27,5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,0.658,0.284,5,Contentment
28,2UBRsk5jRJaGkpHtdEmOoe,acoustic,Eavesdrop - Alternate Version,The Civil Wars,0.27,0.212,4,Depressed
29,6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.489,0.326,5,Contentment
30,0fBSs3fRoh1yJcne77fdu9,acoustic,Video Games,Lana Del Rey,0.181,0.249,4,Depressed
31,3AkxSspcYOvhWTkaMvqyaD,acoustic,Volcano,Damien Rice,0.437,0.289,4,Depressed
32,7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373,2,Misery
33,1VdZ0vKfR5jneCmWIUAMxK,acoustic,The A Team,Ed Sheeran,0.407,0.289,4,Depressed
34,5FPnjikbwlDMULCCCa6ZCJ,acoustic,Daughters,John Mayer,0.503,0.413,5,Contentment
35,3C5in0EVdoGepp5bA6lhlE,acoustic,Tee Shirt - Soundtrack Version,Birdy,0.557,0.341,5,Contentment
36,5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.627,0.849,3,Energetic
37,54JkQYApvJ6oan1kpJRKVS,acoustic,Wonderful World,Various Artists,0.596,0.679,3,Energetic
38,4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295,4,Depressed
39,24U9E0gs1fHhu8CoKwM0mF,acoustic,Waiting On An Angel,Ben Harper,0.451,0.0712,4,Depressed
40,6wDKGtbPpF9xPMRv7bswQN,acoustic,Dead Sea,The Lumineers,0.472,0.319,5,Contentment
41,0Qw7qGuXlVBZLcfoQ17yZn,acoustic,Old Pine,Ben Howard,0.226,0.358,4,Depressed
42,3RgR3cFZ6xh7MlB9DURK6e,acoustic,Shadow Days,John Mayer,0.254,0.559,2,Misery
43,1xdZeRTNLrVXRmGOWqdXmr,acoustic,Hopeless Wanderer,Mumford & Sons,0.265,0.601,2,Misery
44,6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847,3,Energetic
45,7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242,4,Depressed
46,2nGFzvICaeEWjIrBrL2RAx,acoustic,Put Your Records On,Corinne Bailey Rae,0.542,0.511,5,Contentment
47,49kjlZP49LMD1MrrcvXDET,acoustic,For the First Time,The Script,0.381,0.633,2,Misery
48,5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38,2,Misery
49,5oCMnpuRd3rUL9clNWbjr0,acoustic,My Hero - Live,Foo Fighters,0.184,0.812,0,Distressed
50,4BBFEhlXWJhNvQYT8Ozqq9,acoustic,I Will Be Blessed,Ben Howard,0.336,0.345,4,Depressed
51,3zaqYoG2r4PT8rvX8kPbp1,acoustic,Writing On The Wall - Spotify Sessions / Curated By Jim Eno,Bear's Den,0.558,0.649,3,Energetic
52,1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337,4,Depressed
53,4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.272,0.624,2,Misery
54,7AUwhTIuxBn7Os76FPoIz7,acoustic,Polly,Nirvana,0.429,0.388,2,Misery
55,6N001s7hglDhXJyjeXeg4F,acoustic,Why Am I Crying,Molly Sandén,0.198,0.346,4,Depressed
56,3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.486,0.814,3,Energetic
57,6wN5nWLgjEGmPwozDh2jwM,acoustic,Kiss Me,Jason Walker,0.33,0.184,4,Depressed
58,6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),Boyce Avenue,0.44,0.44,2,Misery
59,7zkLpY72g6lKQbiHDqri1S,acoustic,Sunrise,Norah Jones,0.679,0.299,5,Contentment
60,7DneDMOlQ1ol2bd2tWukd2,acoustic,Mercy - Radio 1 Live Lounge Session (Duffy cover),OneRepublic,0.815,0.53,5,Contentment
61,1c7UYTut2SBOPq64o2t0uN,acoustic,Why Georgia,John Mayer,0.369,0.639,2,Misery
62,6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639,2,Misery
63,20p75WXHObYQcvc1ffp7ik,acoustic,Trololo Song,Mr. Trololo,0.636,0.613,5,Contentment
64,6hUScKZXCeLfAhFKnLUdhI,acoustic,Passion Play,William Fitzsimmons,0.11,0.506,2,Misery
65,3JiiqMYLbnHa1qys1JOpFK,acoustic,Cannonball,Damien Rice,0.439,0.284,4,Depressed
66,4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432,5,Contentment
67,4o0NjemqhmsYLIMwlcosvW,acoustic,The Funeral,Band of Horses,0.127,0.769,0,Distressed
68,6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44,2,Misery
69,5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554,5,Contentment
70,1jKCHKZtGjXVRPN2Px368r,acoustic,"Tonight, Tonight",Tyler Ward,0.728,0.413,5,Contentment
71,0wplliChn9Ikt3n9XoXt1S,acoustic,Dream Catch Me,Newton Faulkner,0.58,0.722,3,Energetic
72,1siB1tZUrkVyC0HiGHzeCn,acoustic,Say Yes,Elliott Smith,0.418,0.0875,4,Depressed
73,2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.0948,0.127,4,Depressed
74,2wTm4lzLG4EKQxhWHF9VGG,acoustic,Scene Four - Don't You Ever Forget About Me,Sleeping With Sirens,0.364,0.684,2,Misery
75,3SktMqZmo3M9zbB7oKMIF7,acoustic,Gravity,John Mayer,0.237,0.326,4,Depressed
76,11gqufRVufobe8jGNHmibY,acoustic,Gone Tomorrow,The Staves,0.0933,0.239,4,Depressed
77,10XX3YDY7X0jQfwjpveRvh,acoustic,Make You Feel My Love,ortoPilot,0.292,0.212,4,Depressed
78,277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,0.432,0.234,4,Depressed
79,5OiaAaIMYlCZONyDBxqk4G,acoustic,First Day Of My Life,Bright Eyes,0.385,0.201,4,Depressed
80,6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,0.962,0.659,1,Excitement
81,1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302,4,Depressed
82,5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.292,4,Depressed
83,70OYqWcYDDm2SJIRFmz3wo,acoustic,Längesen,Petter,0.458,0.46,2,Misery
84,0VRWmkhxjjERPMMbZEOcDo,acoustic,Send Me on My Way,Various Artists,0.768,0.682,1,Excitement
85,6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.147,4,Depressed
86,4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532,5,Contentment
87,2bkobNV1AyahJ2sbGriUyW,acoustic,Fields of Gold (feat. Eva Cassidy),Michael Bolton,0.236,0.109,4,Depressed
88,1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372,4,Depressed
89,5gcj6l37gMBeSAjFnSKeWh,acoustic,Chasing Pavements (Live at Hotel Cafe),Adele,0.202,0.267,4,Depressed
90,0gw9t8io80CCz8XuH440PC,acoustic,How We Do (Party) - Live from Spotify NYC,Rita Ora,0.866,0.575,5,Contentment
91,0SuG9kyzGRpDqrCWtgD6Lq,acoustic,Give Me Love,Ed Sheeran,0.11,0.328,4,Depressed
92,5ydPIlHBSV0w2Mo2ichlmR,acoustic,If You're Not The One,Various Artists,0.306,0.5,2,Misery
93,3wsZYuHJrk3lssa7V7jvye,acoustic,Poison & Wine,The Civil Wars,0.203,0.186,4,Depressed
94,4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467,2,Misery
95,1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192,4,Depressed
96,0KpfYajJVVGgQ32Dby7e9i,acoustic,"Hey, Soul Sister",Train,0.768,0.885,1,Excitement
